主轴转速: 7922	开始记录accel数据...	
主轴转速: 7952	t = 317.3 s, 稳定, fc = NaN Hz, Xf = 0.1108, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.076808, Y = 0.40002, Z = -0.54614	
主轴转速: 7955	t = 317.4 s, 稳定, fc = NaN Hz, Xf = 0.1096, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.13045, Y = -0.33376, Z = 0.088717	
主轴转速: 7929	t = 317.5 s, 稳定, fc = NaN Hz, Xf = 0.1099, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.22007, Y = -0.05713, Z = 0.01882	
主轴转速: 7929	t = 317.6 s, 稳定, fc = NaN Hz, Xf = 0.1083, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.10189, Y = -0.18387, Z = 0.074701	
主轴转速: 8002	t = 317.7 s, 稳定, fc = NaN Hz, Xf = 0.1090, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.19042, Y = 0.23795, Z = -0.21391	
主轴转速: 8002	t = 317.8 s, 稳定, fc = NaN Hz, Xf = 0.1104, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.074737, Y = 0.16602, Z = -0.50324	
主轴转速: 7962	t = 317.9 s, 稳定, fc = NaN Hz, Xf = 0.1091, n_new = NaN rpm, pass = 0.0046 s	
	采集数据: X = 0.10573, Y = -0.060785, Z = 0.10176	
主轴转速: 7962	t = 318.0 s, 稳定, fc = NaN Hz, Xf = 0.1107, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.39993, Y = 0.031668, Z = -0.41452	
主轴转速: 8058	t = 318.1 s, 稳定, fc = NaN Hz, Xf = 0.1104, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.26902, Y = 0.03045, Z = 0.050447	
主轴转速: 8058	t = 318.2 s, 稳定, fc = NaN Hz, Xf = 0.1102, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.024202, Y = 0.32943, Z = -0.15754	
主轴转速: 8041	t = 318.3 s, 稳定, fc = NaN Hz, Xf = 0.1099, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.2258, Y = -0.23534, Z = 0.0063277	
主轴转速: 8041	t = 318.4 s, 稳定, fc = NaN Hz, Xf = 0.1097, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.11991, Y = 0.24209, Z = -0.20318	
主轴转速: 8009	t = 318.5 s, 稳定, fc = NaN Hz, Xf = 0.1099, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.13891, Y = -0.20482, Z = -0.27137	
主轴转速: 8009	t = 318.6 s, 稳定, fc = NaN Hz, Xf = 0.1006, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.20168, Y = 0.58285, Z = 0.1669	
主轴转速: 7945	t = 318.7 s, 稳定, fc = NaN Hz, Xf = 0.0996, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.1369, Y = 0.041961, Z = -0.010491	
主轴转速: 7945	t = 318.8 s, 稳定, fc = NaN Hz, Xf = 0.1087, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.26628, Y = 0.18856, Z = -0.084106	
主轴转速: 7971	t = 318.9 s, 稳定, fc = NaN Hz, Xf = 0.1086, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.066822, Y = -0.19538, Z = -0.22475	
主轴转速: 7988	t = 319.0 s, 稳定, fc = NaN Hz, Xf = 0.1082, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.11851, Y = 0.0048093, Z = 0.34515	
主轴转速: 7988	t = 319.1 s, 稳定, fc = NaN Hz, Xf = 0.1084, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.029682, Y = 0.084411, Z = 0.21066	
主轴转速: 7952	t = 319.2 s, 稳定, fc = NaN Hz, Xf = 0.1101, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.20406, Y = 0.042205, Z = 0.14484	
主轴转速: 7952	t = 319.3 s, 稳定, fc = NaN Hz, Xf = 0.1106, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.14098, Y = 0.01157, Z = -0.012198	
主轴转速: 7943	t = 319.4 s, 稳定, fc = NaN Hz, Xf = 0.0939, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.006058, Y = -0.3164, Z = 0.26428	
主轴转速: 7943	t = 319.5 s, 稳定, fc = NaN Hz, Xf = 0.1001, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.0092243, Y = 0.40751, Z = 0.072203	
主轴转速: 8053	t = 319.6 s, 稳定, fc = NaN Hz, Xf = 0.0976, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.070049, Y = -0.30714, Z = 0.11291	
主轴转速: 8053	t = 319.7 s, 稳定, fc = NaN Hz, Xf = 0.1093, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.029012, Y = 0.064191, Z = -0.12183	
主轴转速: 7969	t = 319.8 s, 稳定, fc = NaN Hz, Xf = 0.1091, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.27438, Y = -0.14313, Z = 0.27294	
主轴转速: 7969	t = 319.9 s, 稳定, fc = NaN Hz, Xf = 0.1084, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.22616, Y = -0.21457, Z = 0.023634	
主轴转速: 7957	t = 320.0 s, 稳定, fc = NaN Hz, Xf = 0.1081, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.048009, Y = -0.097571, Z = -0.050345	
主轴转速: 7957	t = 320.1 s, 稳定, fc = NaN Hz, Xf = 0.1090, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.031508, Y = -0.0088942, Z = 0.057273	
主轴转速: 8048	t = 320.2 s, 稳定, fc = NaN Hz, Xf = 0.1096, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.36687, Y = -0.14818, Z = 0.17147	
主轴转速: 8004	t = 320.3 s, 稳定, fc = NaN Hz, Xf = 0.1094, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.073641, Y = 0.010352, Z = -0.12981	
主轴转速: 8004	t = 320.4 s, 稳定, fc = NaN Hz, Xf = 0.1085, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.028647, Y = 0.45404, Z = -0.5832	
主轴转速: 8002	t = 320.5 s, 稳定, fc = NaN Hz, Xf = 0.1082, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.1296, Y = -0.49753, Z = 0.3552	
主轴转速: 8002	t = 320.6 s, 稳定, fc = NaN Hz, Xf = 0.1126, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.17782, Y = -0.13892, Z = 0.01492	
主轴转速: 8032	t = 320.7 s, 稳定, fc = NaN Hz, Xf = 0.1094, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.14494, Y = -0.064926, Z = -0.39514	
主轴转速: 8032	t = 320.8 s, 稳定, fc = NaN Hz, Xf = 0.1112, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.095012, Y = 0.53985, Z = -0.13188	
主轴转速: 7929	t = 320.9 s, 稳定, fc = NaN Hz, Xf = 0.1083, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.08868, Y = 0.015041, Z = -0.1019	
主轴转速: 7929	t = 321.0 s, 稳定, fc = NaN Hz, Xf = 0.1105, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.049165, Y = -0.10342, Z = 0.010837	
主轴转速: 7995	t = 321.1 s, 稳定, fc = NaN Hz, Xf = 0.1087, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.12588, Y = -0.13643, Z = -0.2214	
主轴转速: 7995	t = 321.2 s, 稳定, fc = NaN Hz, Xf = 0.1074, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.22646, Y = 0.25963, Z = -0.079413	
主轴转速: 7950	t = 321.3 s, 稳定, fc = NaN Hz, Xf = 0.1090, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.0081281, Y = 0.32803, Z = -0.016342	
主轴转速: 7950	t = 321.4 s, 稳定, fc = NaN Hz, Xf = 0.0934, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.34702, Y = -0.21493, Z = 0.055018	
主轴转速: 7955	t = 321.5 s, 稳定, fc = NaN Hz, Xf = 0.1034, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.014095, Y = -0.28449, Z = -0.23292	
主轴转速: 7955	t = 321.6 s, 稳定, fc = NaN Hz, Xf = 0.1032, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.28425, Y = -0.14368, Z = -0.18252	
主轴转速: 8016	t = 321.7 s, 稳定, fc = NaN Hz, Xf = 0.0957, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.19645, Y = 0.29337, Z = 0.25971	
主轴转速: 7931	t = 321.8 s, 稳定, fc = NaN Hz, Xf = 0.1058, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.072972, Y = -0.12017, Z = 0.12132	
主轴转速: 7931	t = 321.9 s, 稳定, fc = NaN Hz, Xf = 0.1099, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.1727, Y = 0.032643, Z = -0.18551	
主轴转速: 8032	t = 322.0 s, 稳定, fc = NaN Hz, Xf = 0.1087, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.12448, Y = -0.16463, Z = 0.22169	
主轴转速: 8032	t = 322.1 s, 稳定, fc = NaN Hz, Xf = 0.1088, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.050687, Y = 0.23064, Z = 0.27495	
主轴转速: 8048	t = 322.2 s, 稳定, fc = NaN Hz, Xf = 0.0895, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.052027, Y = -0.067362, Z = 0.30566	
主轴转速: 8048	t = 322.3 s, 稳定, fc = NaN Hz, Xf = 0.0985, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.038327, Y = 0.36396, Z = -0.13718	
主轴转速: 7988	t = 322.4 s, 稳定, fc = NaN Hz, Xf = 0.1082, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.15626, Y = -0.11365, Z = 0.1978	
主轴转速: 7988	t = 322.5 s, 稳定, fc = NaN Hz, Xf = 0.1075, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.24948, Y = 0.12254, Z = 0.20925	
主轴转速: 7973	t = 322.6 s, 稳定, fc = NaN Hz, Xf = 0.1075, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.28565, Y = 0.094339, Z = 0.067145	
主轴转速: 7973	t = 322.7 s, 稳定, fc = NaN Hz, Xf = 0.1086, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.020366, Y = -0.11828, Z = 0.15234	
主轴转速: 7959	t = 322.8 s, 稳定, fc = NaN Hz, Xf = 0.1084, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.38044, Y = 0.21304, Z = -0.070943	
主轴转速: 7959	t = 322.9 s, 稳定, fc = NaN Hz, Xf = 0.1066, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.1959, Y = -0.34582, Z = 0.20986	
主轴转速: 8039	t = 323.0 s, 稳定, fc = NaN Hz, Xf = 0.1102, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.10189, Y = 0.58303, Z = -0.49721	
主轴转速: 8039	t = 323.1 s, 稳定, fc = NaN Hz, Xf = 0.1063, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.1506, Y = -0.35915, Z = 0.064524	
主轴转速: 7980	t = 323.2 s, 稳定, fc = NaN Hz, Xf = 0.1086, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.39506, Y = -0.1075, Z = 0.2538	
主轴转速: 7971	t = 323.3 s, 稳定, fc = NaN Hz, Xf = 0.1079, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.28534, Y = -0.32718, Z = 0.090058	
主轴转速: 7971	t = 323.4 s, 稳定, fc = NaN Hz, Xf = 0.1069, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.052636, Y = 0.21365, Z = -0.44834	
主轴转速: 8030	t = 323.5 s, 稳定, fc = NaN Hz, Xf = 0.1133, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.18786, Y = 0.45489, Z = -0.52128	
主轴转速: 8030	t = 323.6 s, 稳定, fc = NaN Hz, Xf = 0.1147, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.24193, Y = -0.40154, Z = -0.048578	
主轴转速: 8048	t = 323.7 s, 稳定, fc = NaN Hz, Xf = 0.1118, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.44711, Y = 0.042448, Z = -0.043642	
主轴转速: 8048	t = 323.8 s, 稳定, fc = NaN Hz, Xf = 0.1084, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.47859, Y = -0.24557, Z = -0.11653	
主轴转速: 8009	t = 323.9 s, 稳定, fc = NaN Hz, Xf = 0.1094, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.025237, Y = 0.37413, Z = -0.14529	
主轴转速: 8009	t = 324.0 s, 稳定, fc = NaN Hz, Xf = 0.1064, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.082531, Y = -0.048482, Z = -0.065154	
主轴转速: 8016	t = 324.1 s, 稳定, fc = NaN Hz, Xf = 0.1079, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.15742, Y = 0.51915, Z = -0.042363	
主轴转速: 8016	t = 324.2 s, 稳定, fc = NaN Hz, Xf = 0.1433, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.24059, Y = -0.67184, Z = -0.067165	
主轴转速: 7962	t = 324.3 s, 稳定, fc = NaN Hz, Xf = 0.1152, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.40456, Y = 0.033191, Z = -0.24986	
主轴转速: 7962	t = 324.4 s, 颤振, fc = 350.00 Hz, Xf = 0.1672, n_new = 10500.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.33965, Y = -0.37268, Z = 0.054104	
主轴转速: 7969	t = 324.5 s, 颤振, fc = 350.00 Hz, Xf = 0.2047, n_new = 10500.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.34422, Y = -0.30404, Z = 0.129	
主轴转速: 7990	t = 324.6 s, 颤振, fc = 350.00 Hz, Xf = 0.2198, n_new = 10500.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.17678, Y = -0.2865, Z = -0.042789	
主轴转速: 7990	t = 324.7 s, 稳定, fc = NaN Hz, Xf = 0.1446, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.17051, Y = 0.26725, Z = 0.54612	
主轴转速: 7971	t = 324.8 s, 稳定, fc = NaN Hz, Xf = 0.1091, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.36845, Y = 0.13033, Z = 0.44996	
主轴转速: 7971	t = 324.9 s, 稳定, fc = NaN Hz, Xf = 0.1072, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.11833, Y = 0.047625, Z = 0.26745	
主轴转速: 7938	t = 325.0 s, 稳定, fc = NaN Hz, Xf = 0.1177, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.46983, Y = -0.02479, Z = -0.078377	
主轴转速: 7938	t = 325.1 s, 稳定, fc = NaN Hz, Xf = 0.1460, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.61254, Y = 0.18984, Z = -0.47003	
主轴转速: 8044	t = 325.2 s, 颤振, fc = 1220.00 Hz, Xf = 0.1770, n_new = 8133.33 rpm, pass = 0.0003 s	
	采集数据: X = 0.11529, Y = 0.40733, Z = -0.24407	
主轴转速: 8044	t = 325.3 s, 颤振, fc = 1620.00 Hz, Xf = 0.1932, n_new = 8100.00 rpm, pass = 0.0004 s	
	采集数据: X = 0.2451, Y = 0.073936, Z = -0.18069	
主轴转速: 7912	t = 325.4 s, 颤振, fc = 1620.00 Hz, Xf = 0.2791, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.4023, Y = 0.10488, Z = 0.17519	
主轴转速: 7912	t = 325.5 s, 颤振, fc = 4070.00 Hz, Xf = 0.1803, n_new = 8140.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.16412, Y = -0.0106, Z = 1.0589	
	t = 325.6 s, 颤振, fc = 5770.00 Hz, Xf = 0.3773, n_new = 8051.16 rpm, pass = 0.0003 s	
	采集数据: X = -0.14488, Y = 0.18034, Z = 0.60444	
	t = 325.7 s, 稳定, fc = NaN Hz, Xf = 0.1411, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.03711, Y = 0.063582, Z = -0.12524	
	t = 325.8 s, 稳定, fc = NaN Hz, Xf = 0.1454, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.16996, Y = 0.11121, Z = 0.22437	
	t = 325.9 s, 稳定, fc = NaN Hz, Xf = 0.1411, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.058846, Y = -0.21956, Z = 0.30078	
	t = 326.0 s, 稳定, fc = NaN Hz, Xf = 0.1431, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.12454, Y = 0.1617, Z = 0.19335	
	t = 326.1 s, 稳定, fc = NaN Hz, Xf = 0.1444, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.017444, Y = 0.052558, Z = 0.04216	
	t = 326.2 s, 稳定, fc = NaN Hz, Xf = 0.1447, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.23274, Y = -0.051954, Z = 0.25788	
	t = 326.3 s, 稳定, fc = NaN Hz, Xf = 0.1457, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.029012, Y = -0.10591, Z = -0.013112	
	t = 326.4 s, 稳定, fc = NaN Hz, Xf = 0.1451, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.2026, Y = -0.066266, Z = 0.091094	
	t = 326.5 s, 稳定, fc = NaN Hz, Xf = 0.1452, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.15176, Y = -0.026313, Z = 0.0016354	
	t = 326.6 s, 稳定, fc = NaN Hz, Xf = 0.0971, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.27195, Y = -0.096901, Z = 0.24082	
	t = 326.7 s, 稳定, fc = NaN Hz, Xf = 0.1074, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.21021, Y = -0.057069, Z = -0.098609	
	t = 326.8 s, 稳定, fc = NaN Hz, Xf = 0.1487, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.20047, Y = -0.10232, Z = -0.18459	
	t = 326.9 s, 稳定, fc = NaN Hz, Xf = 0.1472, n_new = NaN rpm, pass = 0.0003 s	
