开始记录数据...	开始记录数据...	程序停止
主轴数据: 3002	t = 40.3 s, 稳定, fc = NaN Hz, Xf = 0.0719, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3005	采集数据: X = 0.023593, Y = -0.048543, Z = -0.23938	
主轴数据: 3005	t = 40.4 s, 稳定, fc = NaN Hz, Xf = 0.0706, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3021	采集数据: X = -0.17002, Y = -0.12047, Z = -0.093125	
主轴数据: 3021	t = 40.5 s, 稳定, fc = NaN Hz, Xf = 0.0725, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = 0.03711, Y = 0.051036, Z = 0.16513	
主轴数据: 3016	t = 40.6 s, 稳定, fc = NaN Hz, Xf = 0.0733, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3007	采集数据: X = 0.22695, Y = 0.15177, Z = -0.18813	
主轴数据: 3007	t = 40.7 s, 稳定, fc = NaN Hz, Xf = 0.0723, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2991	采集数据: X = 0.17209, Y = 0.032521, Z = -0.12445	
主轴数据: 2991	t = 40.8 s, 稳定, fc = NaN Hz, Xf = 0.0715, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3007	采集数据: X = 0.0052668, Y = 0.08228, Z = -0.13255	
主轴数据: 3007	t = 40.9 s, 稳定, fc = NaN Hz, Xf = 0.0732, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 2995	采集数据: X = -0.026637, Y = -0.094038, Z = -0.19593	
主轴数据: 3002	t = 41.0 s, 稳定, fc = NaN Hz, Xf = 0.0722, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3002	采集数据: X = -0.084479, Y = -0.073879, Z = 0.11248	
主轴数据: 3012	t = 41.1 s, 稳定, fc = NaN Hz, Xf = 0.0723, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3012	采集数据: X = 0.059942, Y = 0.041595, Z = 0.12229	
主轴数据: 2998	t = 41.2 s, 稳定, fc = NaN Hz, Xf = 0.0710, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 2998	采集数据: X = 0.15298, Y = 0.049026, Z = -0.16808	
主轴数据: 3014	t = 41.3 s, 稳定, fc = NaN Hz, Xf = 0.0703, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3014	采集数据: X = 0.20205, Y = 0.018756, Z = -0.079962	
主轴数据: 3014	t = 41.4 s, 稳定, fc = NaN Hz, Xf = 0.0720, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3014	采集数据: X = 0.003014, Y = 0.16657, Z = -0.12859	
主轴数据: 2991	t = 41.5 s, 稳定, fc = NaN Hz, Xf = 0.0715, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2991	采集数据: X = 0.0003959, Y = -0.068641, Z = -0.16924	
主轴数据: 2998	t = 41.6 s, 稳定, fc = NaN Hz, Xf = 0.0711, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 2984	采集数据: X = -0.084722, Y = -0.070529, Z = 0.10566	
主轴数据: 2984	t = 41.7 s, 稳定, fc = NaN Hz, Xf = 0.0415, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3002	采集数据: X = 0.036379, Y = 0.068089, Z = 0.048619	
主轴数据: 3002	t = 41.8 s, 稳定, fc = NaN Hz, Xf = 0.0382, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = 0.16759, Y = 0.063156, Z = -0.15205	
主轴数据: 3016	t = 41.9 s, 稳定, fc = NaN Hz, Xf = 0.0717, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3016	采集数据: X = 0.13782, Y = 0.090745, Z = -0.026457	
主轴数据: 3016	t = 42.0 s, 稳定, fc = NaN Hz, Xf = 0.0705, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3002	采集数据: X = -0.0042923, Y = 0.063765, Z = -0.091296	
主轴数据: 3002	t = 42.1 s, 稳定, fc = NaN Hz, Xf = 0.0693, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3005	采集数据: X = -0.011112, Y = -0.105, Z = -0.18015	
主轴数据: 2998	t = 42.2 s, 稳定, fc = NaN Hz, Xf = 0.0713, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 2998	采集数据: X = -0.17843, Y = -0.0049354, Z = 0.09737	
主轴数据: 3012	t = 42.3 s, 稳定, fc = NaN Hz, Xf = 0.0705, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3012	采集数据: X = 0.062682, Y = 0.028257, Z = 0.094141	
主轴数据: 3016	t = 42.4 s, 稳定, fc = NaN Hz, Xf = 0.0713, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3016	采集数据: X = 0.18244, Y = 0.077529, Z = -0.10799	
主轴数据: 3005	t = 42.5 s, 稳定, fc = NaN Hz, Xf = 0.0717, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3005	采集数据: X = 0.071084, Y = 0.1321, Z = -0.0084195	
主轴数据: 2991	t = 42.6 s, 稳定, fc = NaN Hz, Xf = 0.0726, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2991	采集数据: X = -0.12399, Y = 0.00060688, Z = -0.025239	
主轴数据: 2998	t = 42.7 s, 稳定, fc = NaN Hz, Xf = 0.0698, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2998	采集数据: X = -0.0053274, Y = -0.14538, Z = -0.16357	
主轴数据: 3012	t = 42.8 s, 稳定, fc = NaN Hz, Xf = 0.0724, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3012	采集数据: X = -0.088071, Y = -0.014863, Z = 0.065377	
主轴数据: 2984	t = 42.9 s, 稳定, fc = NaN Hz, Xf = 0.0704, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3014	采集数据: X = 0.069319, Y = 0.059258, Z = -0.053575	
主轴数据: 3014	t = 43.0 s, 稳定, fc = NaN Hz, Xf = 0.0713, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3002	采集数据: X = 0.18439, Y = 0.057735, Z = -0.13273	
主轴数据: 3002	t = 43.1 s, 稳定, fc = NaN Hz, Xf = 0.0722, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3002	采集数据: X = -0.10067, Y = 0.12351, Z = -0.010126	
主轴数据: 3002	t = 43.2 s, 稳定, fc = NaN Hz, Xf = 0.0718, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3014	采集数据: X = 0.02408, Y = 0.0082808, Z = -0.045409	
主轴数据: 3014	t = 43.3 s, 稳定, fc = NaN Hz, Xf = 0.0699, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = -0.065056, Y = -0.061394, Z = -0.057353	
主轴数据: 3016	t = 43.4 s, 稳定, fc = NaN Hz, Xf = 0.0706, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3014	采集数据: X = -0.010259, Y = -0.039042, Z = 0.050204	
主轴数据: 3016	t = 43.5 s, 稳定, fc = NaN Hz, Xf = 0.0413, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 3016	采集数据: X = 0.065787, Y = 0.14781, Z = -0.054063	
主轴数据: 2991	t = 43.6 s, 稳定, fc = NaN Hz, Xf = 0.0376, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2991	采集数据: X = 0.15371, Y = 0.055603, Z = -0.10495	
主轴数据: 3019	t = 43.7 s, 稳定, fc = NaN Hz, Xf = 0.0726, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = -0.055802, Y = 0.13563, Z = 0.08634	
主轴数据: 3021	t = 43.8 s, 稳定, fc = NaN Hz, Xf = 0.0715, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3021	采集数据: X = 0.14086, Y = 0.027709, Z = -0.047603	
主轴数据: 3002	t = 43.9 s, 稳定, fc = NaN Hz, Xf = 0.0714, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3002	采集数据: X = -0.10615, Y = -0.046838, Z = -0.010491	
主轴数据: 3005	t = 44.0 s, 稳定, fc = NaN Hz, Xf = 0.0730, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3005	采集数据: X = -0.29971, Y = -0.1061, Z = 0.10084	
主轴数据: 3021	t = 44.1 s, 稳定, fc = NaN Hz, Xf = 0.0716, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2988	采集数据: X = -0.014521, Y = 0.11371, Z = -0.022314	
主轴数据: 2988	t = 44.2 s, 稳定, fc = NaN Hz, Xf = 0.0716, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3000	采集数据: X = -0.033761, Y = 0.10347, Z = 0.021075	
主轴数据: 3000	t = 44.3 s, 稳定, fc = NaN Hz, Xf = 0.0718, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2991	采集数据: X = -0.01306, Y = 0.091172, Z = 0.14368	
主轴数据: 2991	t = 44.4 s, 稳定, fc = NaN Hz, Xf = 0.0708, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = 0.069684, Y = 0.071865, Z = -0.0902	
主轴数据: 3019	t = 44.5 s, 稳定, fc = NaN Hz, Xf = 0.0710, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2986	采集数据: X = -0.14658, Y = -0.028871, Z = -0.10812	
主轴数据: 2986	t = 44.6 s, 稳定, fc = NaN Hz, Xf = 0.0725, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = 0.028464, Y = -0.013279, Z = 0.15155	
主轴数据: 3023	t = 44.7 s, 稳定, fc = NaN Hz, Xf = 0.0729, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3023	采集数据: X = -0.073519, Y = 0.10238, Z = 0.028022	
主轴数据: 3009	t = 44.8 s, 稳定, fc = NaN Hz, Xf = 0.0718, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3009	采集数据: X = -0.060612, Y = 0.10932, Z = 0.11571	
主轴数据: 2986	t = 44.9 s, 稳定, fc = NaN Hz, Xf = 0.0727, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 2986	采集数据: X = 0.15176, Y = 0.17778, Z = 0.1435	
主轴数据: 2991	t = 45.0 s, 稳定, fc = NaN Hz, Xf = 0.0716, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2991	采集数据: X = 0.082653, Y = 0.042265, Z = -0.14687	
主轴数据: 2998	t = 45.1 s, 稳定, fc = NaN Hz, Xf = 0.0737, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2998	采集数据: X = -0.089593, Y = -0.035327, Z = -0.11116	
主轴数据: 3019	t = 45.2 s, 稳定, fc = NaN Hz, Xf = 0.0720, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3019	采集数据: X = -0.093612, Y = -0.0017075, Z = 0.16349	
主轴数据: 3009	t = 45.3 s, 稳定, fc = NaN Hz, Xf = 0.0717, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 3009	采集数据: X = -0.087706, Y = 0.044823, Z = -0.011527	
主轴数据: 3007	t = 45.4 s, 稳定, fc = NaN Hz, Xf = 0.0709, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3019	采集数据: X = -0.063169, Y = 0.0027994, Z = 0.14588	
主轴数据: 3019	t = 45.5 s, 稳定, fc = NaN Hz, Xf = 0.0711, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = 0.013365, Y = 0.090258, Z = 0.1471	
主轴数据: 3019	t = 45.6 s, 稳定, fc = NaN Hz, Xf = 0.0719, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3000	采集数据: X = 0.014521, Y = 0.040865, Z = -0.10428	
主轴数据: 3000	t = 45.7 s, 稳定, fc = NaN Hz, Xf = 0.0426, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = 0.082592, Y = -0.022476, Z = -0.03962	
主轴数据: 3019	t = 45.8 s, 稳定, fc = NaN Hz, Xf = 0.0390, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3012	采集数据: X = -0.14135, Y = 0.070342, Z = 0.13326	
主轴数据: 3012	t = 45.9 s, 稳定, fc = NaN Hz, Xf = 0.0709, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3002	采集数据: X = -0.075163, Y = 0.01833, Z = -0.019632	
主轴数据: 2986	t = 46.0 s, 稳定, fc = NaN Hz, Xf = 0.0717, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2986	采集数据: X = -0.052331, Y = 0.045676, Z = 0.21712	
主轴数据: 3014	t = 46.1 s, 稳定, fc = NaN Hz, Xf = 0.0707, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3014	采集数据: X = 0.11133, Y = 0.17881, Z = 0.14234	
主轴数据: 3019	t = 46.2 s, 稳定, fc = NaN Hz, Xf = 0.0709, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = -0.044416, Y = 0.0087072, Z = -0.13158	
主轴数据: 3002	t = 46.3 s, 稳定, fc = NaN Hz, Xf = 0.0723, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3002	采集数据: X = -0.060003, Y = -0.055242, Z = -0.0098211	
主轴数据: 3019	t = 46.4 s, 稳定, fc = NaN Hz, Xf = 0.0713, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = -0.32705, Y = -0.032708, Z = 0.084329	
主轴数据: 3005	t = 46.5 s, 稳定, fc = NaN Hz, Xf = 0.0723, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3005	采集数据: X = -0.05842, Y = 0.056822, Z = 0.024792	
主轴数据: 3005	t = 46.6 s, 稳定, fc = NaN Hz, Xf = 0.0403, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3009	采集数据: X = 0.0069716, Y = 0.11084, Z = 0.22498	
主轴数据: 3009	t = 46.7 s, 稳定, fc = NaN Hz, Xf = 0.0411, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = 0.18878, Y = 0.25975, Z = 0.089692	
主轴数据: 3016	t = 46.8 s, 稳定, fc = NaN Hz, Xf = 0.0725, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2995	采集数据: X = -0.067248, Y = -0.011696, Z = -0.15004	
主轴数据: 2995	t = 46.9 s, 稳定, fc = NaN Hz, Xf = 0.0723, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3012	采集数据: X = -0.10822, Y = -0.038555, Z = 0.15441	
主轴数据: 3012	t = 47.0 s, 稳定, fc = NaN Hz, Xf = 0.0723, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2988	采集数据: X = -0.22482, Y = 0.018391, Z = 0.12717	
主轴数据: 2988	t = 47.1 s, 稳定, fc = NaN Hz, Xf = 0.0732, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2988	采集数据: X = -0.021645, Y = -0.086182, Z = 0.14515	
主轴数据: 3016	t = 47.2 s, 稳定, fc = NaN Hz, Xf = 0.0722, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = 0.0084328, Y = 0.12796, Z = 0.21254	
主轴数据: 3019	t = 47.3 s, 稳定, fc = NaN Hz, Xf = 0.0721, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3019	采集数据: X = 0.068162, Y = 0.14166, Z = -0.02012	
主轴数据: 2986	t = 47.4 s, 稳定, fc = NaN Hz, Xf = 0.0742, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2986	采集数据: X = -0.018052, Y = -0.0042655, Z = -0.11128	
主轴数据: 3007	t = 47.5 s, 稳定, fc = NaN Hz, Xf = 0.0732, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3007	采集数据: X = -0.17386, Y = -0.04769, Z = 0.18835	
主轴数据: 2998	t = 47.6 s, 稳定, fc = NaN Hz, Xf = 0.0718, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 2998	采集数据: X = -0.22098, Y = -0.0076152, Z = 0.10907	
主轴数据: 3005	t = 47.7 s, 稳定, fc = NaN Hz, Xf = 0.0733, n_new = NaN rpm, pass = 0.0011 s	
主轴数据: 3005	采集数据: X = 0.051966, Y = -0.11517, Z = 0.015164	
主轴数据: 3019	t = 47.8 s, 稳定, fc = NaN Hz, Xf = 0.0708, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3005	采集数据: X = -0.025359, Y = 0.10688, Z = 0.10797	
主轴数据: 3005	t = 47.9 s, 稳定, fc = NaN Hz, Xf = 0.0721, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 2995	采集数据: X = 0.10597, Y = 0.10536, Z = -0.051503	
主轴数据: 2995	t = 48.0 s, 稳定, fc = NaN Hz, Xf = 0.0732, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3014	采集数据: X = -0.028099, Y = 0.0067582, Z = -0.10056	
主轴数据: 3014	t = 48.1 s, 稳定, fc = NaN Hz, Xf = 0.0717, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2991	采集数据: X = -0.12649, Y = -0.050979, Z = 0.091703	
主轴数据: 2991	t = 48.2 s, 稳定, fc = NaN Hz, Xf = 0.0721, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3005	采集数据: X = -0.1436, Y = -0.052806, Z = 0.034299	
主轴数据: 3005	t = 48.3 s, 稳定, fc = NaN Hz, Xf = 0.0733, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 2988	采集数据: X = -0.002831, Y = -0.047081, Z = 0.070192	
主轴数据: 2988	t = 48.4 s, 稳定, fc = NaN Hz, Xf = 0.0712, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2986	采集数据: X = -0.089898, Y = 0.13636, Z = 0.17013	
主轴数据: 3023	t = 48.5 s, 稳定, fc = NaN Hz, Xf = 0.0729, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3023	采集数据: X = 0.067188, Y = 0.03721, Z = -0.042423	
主轴数据: 3014	t = 48.6 s, 稳定, fc = NaN Hz, Xf = 0.0733, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3014	采集数据: X = -0.039606, Y = -0.029906, Z = -0.064605	
主轴数据: 3016	t = 48.7 s, 稳定, fc = NaN Hz, Xf = 0.0732, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3016	采集数据: X = -0.15645, Y = -0.022354, Z = 0.092983	
主轴数据: 3021	t = 48.8 s, 稳定, fc = NaN Hz, Xf = 0.0741, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3021	采集数据: X = 0.058907, Y = -0.048177, Z = -0.032673	
主轴数据: 3019	t = 48.9 s, 稳定, fc = NaN Hz, Xf = 0.0735, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3019	采集数据: X = -0.071876, Y = -0.015106, Z = 0.050691	
主轴数据: 2998	t = 49.0 s, 稳定, fc = NaN Hz, Xf = 0.0717, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 3014	采集数据: X = 0.038084, Y = 0.094156, Z = 0.14661	
主轴数据: 3014	t = 49.1 s, 稳定, fc = NaN Hz, Xf = 0.0741, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2998	采集数据: X = 0.0025878, Y = 0.043666, Z = -0.0028132	
主轴数据: 2998	t = 49.2 s, 稳定, fc = NaN Hz, Xf = 0.0729, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 3012	采集数据: X = 0.065422, Y = -0.065048, Z = -0.012015	
主轴数据: 3012	t = 49.3 s, 稳定, fc = NaN Hz, Xf = 0.0724, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3000	采集数据: X = -0.12357, Y = -0.037276, Z = 0.12638	
主轴数据: 3000	t = 49.4 s, 稳定, fc = NaN Hz, Xf = 0.0719, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3021	采集数据: X = 0.14585, Y = -0.033317, Z = -0.077707	
主轴数据: 3021	t = 49.5 s, 稳定, fc = NaN Hz, Xf = 0.0722, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = -0.12819, Y = -0.025095, Z = -0.02859	
主轴数据: 3019	t = 49.6 s, 稳定, fc = NaN Hz, Xf = 0.0718, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3000	采集数据: X = 0.1053, Y = 0.054507, Z = 0.047583	
主轴数据: 3000	t = 49.7 s, 稳定, fc = NaN Hz, Xf = 0.0748, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = -0.03303, Y = 0.10579, Z = -0.02402	
主轴数据: 3005	t = 49.8 s, 稳定, fc = NaN Hz, Xf = 0.0725, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3005	采集数据: X = 0.065361, Y = -0.073331, Z = 0.017114	
主轴数据: 3009	t = 49.9 s, 稳定, fc = NaN Hz, Xf = 0.0734, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3009	采集数据: X = -0.05087, Y = -0.017847, Z = 0.044963	
	t = 50.0 s, 稳定, fc = NaN Hz, Xf = 0.0739, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = 0.024994, Y = -0.093612, Z = -0.20086	
	t = 50.1 s, 稳定, fc = NaN Hz, Xf = 0.0713, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.20053, Y = -0.060967, Z = 0.035396	
	t = 50.2 s, 稳定, fc = NaN Hz, Xf = 0.0726, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.065422, Y = 0.061572, Z = 0.14539	
	t = 50.3 s, 稳定, fc = NaN Hz, Xf = 0.0741, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.015982, Y = 0.084411, Z = -0.063874	
	t = 50.4 s, 稳定, fc = NaN Hz, Xf = 0.0726, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.079487, Y = -0.042331, Z = -0.049919	
	t = 50.5 s, 稳定, fc = NaN Hz, Xf = 0.0739, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.10768, Y = -6.3063e-05, Z = -0.093917	
	t = 50.6 s, 稳定, fc = NaN Hz, Xf = 0.0739, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.00015207, Y = -0.082771, Z = -0.13316	
	t = 50.7 s, 稳定, fc = NaN Hz, Xf = 0.0711, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.072606, Y = -0.066449, Z = 0.11809	
	t = 50.8 s, 稳定, fc = NaN Hz, Xf = 0.0737, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.063656, Y = 0.041595, Z = 0.12912	
	t = 50.9 s, 稳定, fc = NaN Hz, Xf = 0.0735, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.13934, Y = -0.0019511, Z = -0.14559	
	t = 51.0 s, 稳定, fc = NaN Hz, Xf = 0.0720, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.12862, Y = 0.036906, Z = -0.025482	
	t = 51.1 s, 稳定, fc = NaN Hz, Xf = 0.0742, n_new = NaN rpm, pass = 0.0007 s	
	采集数据: X = 0.05495, Y = 0.046711, Z = -0.16004	
	t = 51.2 s, 稳定, fc = NaN Hz, Xf = 0.0740, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = -0.037292, Y = -0.07729, Z = -0.16643	
	t = 51.3 s, 稳定, fc = NaN Hz, Xf = 0.0720, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.06804, Y = -0.031368, Z = 0.13972	
	t = 51.4 s, 稳定, fc = NaN Hz, Xf = 0.0732, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.035527, Y = 0.085934, Z = 0.056359	
	t = 51.5 s, 稳定, fc = NaN Hz, Xf = 0.0725, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.1324, Y = -0.010051, Z = -0.13791	
	t = 51.6 s, 稳定, fc = NaN Hz, Xf = 0.0726, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.18841, Y = 0.037941, Z = -0.0084195	
	t = 51.7 s, 稳定, fc = NaN Hz, Xf = 0.0737, n_new = NaN rpm, pass = 0.0007 s	
	采集数据: X = 0.040702, Y = 0.071865, Z = -0.12786	
	t = 51.8 s, 稳定, fc = NaN Hz, Xf = 0.0719, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.027977, Y = -0.12346, Z = -0.1554	
	t = 51.9 s, 稳定, fc = NaN Hz, Xf = 0.0731, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.037658, Y = -0.031611, Z = 0.119	
	t = 52.0 s, 稳定, fc = NaN Hz, Xf = 0.0743, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.075468, Y = 0.11017, Z = 0.1006	
	t = 52.1 s, 稳定, fc = NaN Hz, Xf = 0.0729, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.2496, Y = 0.051949, Z = -0.14834	
	t = 52.2 s, 稳定, fc = NaN Hz, Xf = 0.0732, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.076442, Y = 0.083985, Z = -0.033587	
	t = 52.3 s, 稳定, fc = NaN Hz, Xf = 0.0723, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.077295, Y = -0.027714, Z = -0.21275	
	t = 52.4 s, 稳定, fc = NaN Hz, Xf = 0.0442, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.16905, Y = -0.1832, Z = -0.060035	
	t = 52.5 s, 稳定, fc = NaN Hz, Xf = 0.0416, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = 0.021158, Y = 0.03788, Z = 0.11529	
	t = 52.6 s, 稳定, fc = NaN Hz, Xf = 0.0730, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.05909, Y = 0.049026, Z = -0.029383	
	t = 52.7 s, 稳定, fc = NaN Hz, Xf = 0.0727, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.24382, Y = 0.066505, Z = -0.14827	
	t = 52.8 s, 稳定, fc = NaN Hz, Xf = 0.0726, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.057385, Y = 0.16158, Z = -0.10239	
	t = 52.9 s, 稳定, fc = NaN Hz, Xf = 0.0724, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.093064, Y = -0.020588, Z = -0.14437	
	t = 53.0 s, 稳定, fc = NaN Hz, Xf = 0.0729, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.12211, Y = -0.086425, Z = 0.064342	
	t = 53.1 s, 稳定, fc = NaN Hz, Xf = 0.0742, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.016774, Y = 0.049269, Z = 0.063854	
	t = 53.2 s, 稳定, fc = NaN Hz, Xf = 0.0731, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.1081, Y = 0.087335, Z = -0.1178	
	t = 53.3 s, 稳定, fc = NaN Hz, Xf = 0.0735, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.20382, Y = 0.043788, Z = -0.049249	
	t = 53.4 s, 稳定, fc = NaN Hz, Xf = 0.0729, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.016226, Y = 0.14934, Z = 0.011447	
	t = 53.5 s, 稳定, fc = NaN Hz, Xf = 0.0712, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.053306, Y = -0.019918, Z = -0.078804	
	t = 53.6 s, 稳定, fc = NaN Hz, Xf = 0.0732, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.097021, Y = -0.060297, Z = 0.0084605	
